epoch,loss,accuracy,set
1,4.841734793501081,0.018632075471698113,train
2,3.785326862335205,0.07839622643758666,train
3,3.3245135478253633,0.1664229560010838,train
4,3.3487839977696257,0.19062893087009214,train
5,2.847856334470353,0.2862971698338131,train
6,2.663242858760762,0.33029874214586225,train
7,2.510709401796449,0.3654245283243791,train
8,2.4596148086044023,0.3690172956237253,train
9,4.209852489435447,0.03337264150943396,train
10,4.365901364020582,0.017806603773584905,train
1,4.131088044908312,0.017361111111111112,eval
2,3.857486300998264,0.06944444444444445,eval
3,3.0606485075420804,0.2407407412926356,eval
4,2.6009955273734198,0.2939814825852712,eval
5,2.9589771694607205,0.26851851907041335,eval
6,2.4832443528705173,0.3506944444444444,eval
7,2.3001740641064115,0.39699074294832015,eval
8,2.5314909882015653,0.34606481591860455,eval
9,4.318234549628364,0.017361111111111112,eval
10,10.84912527932061,0.017361111111111112,eval
