epoch,loss,accuracy,set
1,5.824685204547385,0.013177816285302823,train
2,3.8268324778075478,0.20961238884970912,train
3,2.1615468724012827,0.5030950255565246,train
4,1.5013388809837782,0.6441910838134347,train
5,1.145402619383511,0.7180192361481924,train
6,0.9203283233599762,0.7691451375786433,train
7,0.7535175035068579,0.8056750157605047,train
8,0.6401237367203421,0.8321649863499099,train
9,0.5482059985652763,0.8523143772366818,train
10,0.4784806566978391,0.87029116782439,train
1,5.112101284854384,0.04442771084337349,eval
2,2.3152425720031005,0.4608433734939759,eval
3,1.416709392903799,0.6536144578313253,eval
4,1.0809355773121478,0.7195030120481928,eval
5,0.772548622754683,0.8012048192771084,eval
6,0.6615689288241318,0.8332078313253012,eval
7,0.6451470282893762,0.8328313253012049,eval
8,0.6313956893352141,0.8384789156626506,eval
9,0.44465262859117194,0.8795180722891566,eval
10,0.3714486944474454,0.8979668674698795,eval
